"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x9a284933b2aaa71d727e7cd06c28be3fc85bc46671a08f2f15fb0ae521599709","Success","ERC-20","Transfer","25656278","16 days ago","0xfed2399B20011af1fC985D5354F12CbC57ED48F9","Bitget Dep: 0xfed239...ED48F9","0x0639556F03714A74a5fEEaF5736a4A64fF70D206"," Bitget 4","592.413698","$1,937.19","Uniswap(UNI)","0.00000224"
"0xe8f25891319fa56dba31e9a8fecd846a71dc470386d7e31f45bc116f747a4e6d","Success","ERC-20","0x0fe20a3f","25656264","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","769.699286","$2,516.92","Uniswap(UNI)","0.00000868"
"0x0baea00e22368c91daca94e0ad7ba37c68f54eb80559979802f9127a9e9f9753","Success","ERC-20","Transfer","25656260","16 days ago","0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549","Binance 15","0xfed2399B20011af1fC985D5354F12CbC57ED48F9","Bitget Dep: 0xfed239...ED48F9","592.413698","$1,937.19","Uniswap(UNI)","0.00004231"
"0x88418fc6657a9c733d7234baedfde7b7890ed23975b5b172be17be1d74c740af","Success","ERC-20","Transfer","25656256","16 days ago","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","1,831.787829","$5,989.95","Uniswap(UNI)","0.00000885"
"0xfcec8114fb306dc86def53270088d17f3150b6c999300707b8f8da486a458c5d","Success","ERC-20","Transfer","25656229","16 days ago","0x06FD4bA7973a0d39a91734bbc35bC2bCaa99E3B0","Binance Dep: 0x06FD4b...99E3B0","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","1,569.671187","$5,132.82","Uniswap(UNI)","0.00000927"
"0x0d8c04f1874dd25054b5ddb06d65c756333d4e287452d094b3ebafe859f6c411","Error in Internal Transaction","ERC-20","Dag Swap By Order Id","25656227","16 days ago","0x28b1Dc1a5E3699A428BC51d234DFab7C9CB2a183","OKX Labs: DEX Router 2","0xA7ce02e51413aFd363FE9fc5705fac68F4567532"," ","1,310.124593","$4,284.11","Uniswap(UNI)","0.00013682"
"0x38221ab7308de32cde9bed4fd843cf6d9e3575dca989f58e596b213dccf1d1d9","Success","ERC-20","Transfer","25656207","16 days ago","0xa9C61FE59b5702b1d382fd1d5e495887ff34c21d","Binance Dep: 0xa9C61F...34c21d","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","10,984.966304","$35,920.84","Uniswap(UNI)","0.00000922"
"0x1448659f96131009ecc716326487480dfdb619c7adc4ae8bada678f523007c2e","Success","ERC-20","Transfer","25656206","16 days ago","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","1,831.787829","$5,989.95","Uniswap(UNI)","0.00000333"
"0x0e91c8121c25de73faf12f2467484b215386f8b434ee99a53668cbd3e2ea5bac","Success","ERC-20","0x0fe20a3f","25656194","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","1,092.582575","$3,572.75","Uniswap(UNI)","0.00001177"
"0x637258c8632b60d49b7802d2e2e977f1cc3a5194559880d440bca5abcc81447a","Success","ERC-20","Transfer","25656192","16 days ago","0x0f776CC057622F0Da2F257d2B987A7Cf3386b7Cc"," ","0x06FD4bA7973a0d39a91734bbc35bC2bCaa99E3B0"," Binance Dep: 0x06FD4b...99E3B0","1,569.671187","$5,132.82","Uniswap(UNI)","0.00000316"
