"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xac56d0f99eacfb2f8ba785b968d2a5f5a559e06f7784a06395f73aea3055e038","Success","ERC-20","0x0fe20a3f","25653217","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","918.697956","$3,004.14","Uniswap(UNI)","0.00192071"
"0x3dc5dd386ca8c76abed0cb244a040ea9283d89898f0faa38f79cd4a058b26f56","Success","ERC-20","0x771d503f","25653217","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","1,388.626436","$4,540.81","Uniswap(UNI)","0.00356046"
"0x19e7d3dcc4b15c5b7f1aaa98fbe0c8f2ac7bb63f1e33febe85e1d08c0cef9bbd","Success","ERC-20","0xa0000000","25653217","16 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","6,697.012623","$21,899.23","Uniswap(UNI)","0.00923816"
"0xf0d0087119129bc03f48cfe408b37d556a8c5cbf8425800388d17e57fe5fd628","Success","ERC-20","0x0fe20a3f","25653217","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","796.138201","$2,603.37","Uniswap(UNI)","0.00156102"
"0xaa015a33a214d2612eecbbb9b666aca5641f7ffa26324347e6f6aa776f2e0ce3","Success","ERC-20","Transfer","25653215","16 days ago","0xB60C61DBb7456f024f9338c739B02Be68e3F545C","Nexo 55","0x0f242D43bE94B7EAeD66468515E9B8867bbB13F0"," Nexo 21","2,991","$9,780.57","Uniswap(UNI)","0.00001841"
"0x9323fdc0f4bbd88ed85385083ed212555151505cfd959dda526f0c3fc38a78b4","Success","ERC-20","Transfer","25653215","16 days ago","0xDdA4260741da3B248DB93D47c825e1680878FbF9"," ","0x0f242D43bE94B7EAeD66468515E9B8867bbB13F0"," Nexo 21","17,227","$56,332.29","Uniswap(UNI)","0.00001842"
"0xca4ba92327467c11ae5980d16ac3113871193f4986b8acef0e28cde6e5ee12c3","Success","ERC-20","0x771d503f","25653214","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","3,512.633597","$11,486.31","Uniswap(UNI)","0.00005788"
"0xf747030e111ba8075b8a856f96bb37264c78925d243983318ee66ff2c7a2b06c","Success","ERC-20","0x000000c3","25653208","16 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","545.872464","$1,785.00","Uniswap(UNI)","0.01068636"
"0xb8f8cc64546f8c209d734a7d2a901787ba28ac144af7d347eb51544a1d01a868","Success","ERC-20","0x771d503f","25653207","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","534.240719","$1,746.97","Uniswap(UNI)","0.00006061"
"0xf5041641a17d7d961f334bd14412b8cb9ac6796174ebc162bc2aa8c8bc2b5166","Success","ERC-20","0x771d503f","25653207","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,551.265306","$5,072.64","Uniswap(UNI)","0.00005599"
"0xea918ebae734984fdc876b8576652f06eb3816170ba3916883fac252a2b59dce","Success","ERC-20","0x771d503f","25653204","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,402.779969","$4,587.09","Uniswap(UNI)","0.00005694"
"0x841bd18272e639336c433b828a97f5af17a6ac372f1e1d5025f6edd76d0ece2d","Success","ERC-20","0x000000c3","25653203","16 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x2375C58e51825aE3e3D0814B11dcDbc7ee3638F8"," ","710.358606","$2,322.87","Uniswap(UNI)","0.01210616"
"0x841bd18272e639336c433b828a97f5af17a6ac372f1e1d5025f6edd76d0ece2d","Success","ERC-20","0x000000c3","25653203","16 days ago","0x2375C58e51825aE3e3D0814B11dcDbc7ee3638F8"," ","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","710.358606","$2,322.87","Uniswap(UNI)","0.01210616"
"0x841bd18272e639336c433b828a97f5af17a6ac372f1e1d5025f6edd76d0ece2d","Success","ERC-20","0x000000c3","25653203","16 days ago","0xA113Ad3Ff6e200F8A85bf6B57a6B31EDE7eC4354"," ","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","779.711358","$2,549.66","Uniswap(UNI)","0.01210616"
