"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xf07a8334334b9773bf06877ec8d3df5d18f99037e86b3ea5c91759a5998266e3","Success","ERC-20","0xa0000000","25649436","17 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x8BE0edE2088ed07D4EEa53103dE71e0375553034"," ","530.820417","$1,730.47","Uniswap(UNI)","0.00023226"
"0xeac24b4b7bcf8449e397b5e7aaaa8d4f6542a73cc6715e724879c82edc120b84","Success","ERC-20","0x0fe20a3f","25649436","17 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","724.504772","$2,361.89","Uniswap(UNI)","0.00157584"
"0xf07a8334334b9773bf06877ec8d3df5d18f99037e86b3ea5c91759a5998266e3","Success","ERC-20","0xa0000000","25649436","17 days ago","0x8BE0edE2088ed07D4EEa53103dE71e0375553034"," ","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","530.820417","$1,730.47","Uniswap(UNI)","0.00023226"
"0x4db8e864f7218a3daefbfd815d4f7437a2e4cd6e584c6d62d1f116d83b6c3ac6","Success","ERC-20","Transfer","25649434","17 days ago","0xB93E3d70ac9CAcD51764F09Ae0D01b905dc291e1"," ","0xb960715D05320b6ed39E1D1A4f738b57c00C376C"," ","1,038.51","$3,385.54","Uniswap(UNI)","0.00001172"
"0x4e0b4409a7a4f32eaae7919c2b2330cbf072168c8e50417c21cc1c5563d85a7e","Success","ERC-20","0x771d503f","25649432","17 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","512.298871","$1,670.09","Uniswap(UNI)","0.00002707"
"0x08dc86fe21770bb40527980b956d790d78fd394311d36ae0478074957e2bf40a","Success","ERC-20","Outbound Transfer Custom Refund","25649432","17 days ago","0xF3fD89e24333298bCb83A5Df45134f1ba58449FC"," ","0x85001CC4867C5e1C22dA4B79BB8852B9e2a06da0"," ","1,523.507791","$4,966.64","Uniswap(UNI)","0.00004476"
"0x04c7c36080e0bf8233d7e45c92c893a6835b172ae51c208c020d3c8d4c670a8a","Success","ERC-20","Outbound Transfer Custom Refund","25649431","17 days ago","0xF3fD89e24333298bCb83A5Df45134f1ba58449FC"," ","0x85001CC4867C5e1C22dA4B79BB8852B9e2a06da0"," ","507.948059","$1,655.91","Uniswap(UNI)","0.00004721"
"0x0b50603e53bf0b579f931fb0939e87738d21660df515b7395c97ddb57ceb8d43","Success","ERC-20","0x64f5e9e7","25649431","17 days ago","0xBEEf02961503351625926Ea9a11AE13B29F5c555"," ","0xF3fD89e24333298bCb83A5Df45134f1ba58449FC"," ","846.239876","$2,758.74","Uniswap(UNI)","0.00004132"
"0x0b50603e53bf0b579f931fb0939e87738d21660df515b7395c97ddb57ceb8d43","Success","ERC-20","0x64f5e9e7","25649431","17 days ago","0x67336Cec42645F55059EfF241Cb02eA5cC52fF86"," ","0xBEEf02961503351625926Ea9a11AE13B29F5c555"," ","846.462829","$2,759.47","Uniswap(UNI)","0.00004132"
"0x7595ef43f3c823a4ec0cf3af55926052ceb7e80a7b387eac80370e858abbb134","Success","ERC-20","Fill Order Args","25649430","17 days ago","0x67336Cec42645F55059EfF241Cb02eA5cC52fF86"," ","0x0B8a49d816Cc709B6Eadb09498030AE3416b66Dc"," ","508.03768","$1,656.20","Uniswap(UNI)","0.00008922"
"0x7595ef43f3c823a4ec0cf3af55926052ceb7e80a7b387eac80370e858abbb134","Success","ERC-20","Fill Order Args","25649430","17 days ago","0x0B8a49d816Cc709B6Eadb09498030AE3416b66Dc"," ","0xF3fD89e24333298bCb83A5Df45134f1ba58449FC"," ","507.948059","$1,655.91","Uniswap(UNI)","0.00008922"
