"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x583472a4e541ac08d0324a7af301bcbd68c010169d9957c1b864d39a2f256718","Success","ERC-20","0x4a7cf362","25649905","17 days ago","0x9008D19f58AAbD9eD0D60971565AA8510560ab41","CoW Protocol: GPv2Settlement","0x383F42b5De515C564641f65f5da3BD8b4a35B4B4"," ","42,354.381079","$138,075.28","Uniswap(UNI)","0.00038234"
"0xf96bb761f5a8c162f83f14469a5002731607610722cddcf991d4c5c704997fc8","Success","ERC-20","0x771d503f","25649904","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,296.522352","$10,746.66","Uniswap(UNI)","0.00000953"
"0x074653ddbba1b7f8a63954b68c77c45feed4b0c3768c988843ac478d5d0d6ec0","Success","ERC-20","0x771d503f","25649899","17 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","923.986644","$3,012.20","Uniswap(UNI)","0.00001295"
"0x5663b43391a61d226720463c04d688e9f9f4d5e9054f93fe6affb2e4e4efd420","Success","ERC-20","0x771d503f","25649899","17 days ago","0xfaA318479b7755b2dBfDD34dC306cb28B420Ad12","Uniswap V3: UNI 2","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","500.431641","$1,631.41","Uniswap(UNI)","0.00000964"
"0x73d48f2582aa483b8e397d4b02616db216355e751735357f54fa6184055554af","Success","ERC-20","0x771d503f","25649899","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,307.994417","$10,784.06","Uniswap(UNI)","0.00000972"
"0x46b731478f3832c8baeca3d3b5a5ff5d4a7c7a57aae3b1d7df4530c0557aaab6","Success","ERC-20","Execute","25649898","17 days ago","0x02BC0a30878a7F3f5d74081F77A5aD34E651c6F0"," ","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,038.83447","$3,386.60","Uniswap(UNI)","0.00031575"
"0x98118a2f4a8861de2b3a3defc674ccc954762ff07f695d165fb5b481e7678782","Success","ERC-20","0x0fe20a3f","25649894","17 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","520.392317","$1,696.48","Uniswap(UNI)","0.00082581"
"0x609d8a429cf0abd00483f9e067752a61289f97108206a4daa65601c39adffaf5","Success","ERC-20","0x0fe20a3f","25649894","17 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","637.30004","$2,077.60","Uniswap(UNI)","0.00108596"
"0x586b0620e88bb9ce3d826cbc0fbe0fc846e36ee7f6ea865f1df948496a336529","Success","ERC-20","0xa0000000","25649894","17 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","1,224.581871","$3,992.14","Uniswap(UNI)","0.00185814"
"0x557278680e7fab250e96c630f0450ef8329908748a7f982e788ded75aee619f9","Success","ERC-20","0xa0000000","25649894","17 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","6,857.913218","$22,356.80","Uniswap(UNI)","0.00971423"
"0x67d6a0ec1b475a400bb27c43727ad2b011851a5ce25fbca148832e2e7ad78030","Success","ERC-20","0x771d503f","25649888","17 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","576.261788","$1,878.61","Uniswap(UNI)","0.00000908"
"0xbafcd496abb6000754ff313c0d65c802e8b67e82f7723b7dc5d2b6db30da943c","Success","ERC-20","0x771d503f","25649888","17 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","3,753.77421","$12,237.30","Uniswap(UNI)","0.00001028"
"0x905547fd4ce6bf82cab8616c17375fecc98c7380b65dfa86c1bb785e9d21a76d","Success","ERC-20","Transfer","25649887","17 days ago","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","35,163.157251","$114,631.89","Uniswap(UNI)","0.00000954"
"0x7b7736aa7cf002026a2e6863ae57cecceb7631432a890558e81c0d92c1141eeb","Success","ERC-20","Transfer","25649883","17 days ago","0x91D40E4818F4D4C57b4578d9ECa6AFc92aC8DEbE","OKX 193","0xd363bC1B24455a00dc6bE2a37c333C4C68B58862"," ","4,442.618274","$14,482.94","Uniswap(UNI)","0.00002254"
"0xee1fd4b7754e86310067993ba7d45c79a9f2bf6afc0ccafb485dae745de3c0b6","Success","ERC-20","Transfer","25649882","17 days ago","0x190583676Bba02aa1e8649aCfB45643101F33656"," ","0x93978ab2D3d621EB84B264B6B5DB3177d4D00678","Gate Dep: 0x93978a...D00678","995.909999","$3,246.67","Uniswap(UNI)","0.00017548"
"0x06d503965ce36176ecf34643410df92a624c0947cebc53a74cc1eeaa30e8dfc8","Success","ERC-20","0x771d503f","25649871","17 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","5,564.437124","$18,140.07","Uniswap(UNI)","0.00001045"
"0x13dbc07fb2cac33e006e4429b398db829456fbddb36d097a3b11b79e15f94ff5","Success","ERC-20","Transfer","25649871","17 days ago","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","35,163.157251","$114,631.89","Uniswap(UNI)","0.00000449"
