"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x13a707474e6910d44edd318344a7a8c28d2dcc62993a086e730868a73cab1270","Success","ERC-20","0x00000000","25651236","16 days ago","0x01989C93890AeD05a63d179b03424997075B6acF"," ","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,632.239406","$5,337.42","Uniswap(UNI)","0.00086876"
"0xd98a052b65eb71c858c6d2c6780051962ae64915174e839f277107519efe07fe","Success","ERC-20","Transfer","25651235","16 days ago","0xFF5D8D4e19017f411f81Ef3A682e242A3278C9Ad"," ","0x9018569a11B5F26F6699F625D6F63119eCa212DE","Binance Dep: 0x901856...a212DE","128,264.38561","$419,424.54","Uniswap(UNI)","0.0000089"
"0x05e1c42175e0b3405c77e5dc7d77bc749f1dde61e7dd76147ce8b94e693a341c","Success","ERC-20","0x771d503f","25651234","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","508.666172","$1,663.34","Uniswap(UNI)","0.00001506"
"0x8b2e6aee20d0e17dffce3012cb9b522a35ca27b45ea22e0a9ed0153350116318","Success","ERC-20","0x771d503f","25651234","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","2,777.196969","$9,081.43","Uniswap(UNI)","0.00001388"
"0xc21987d7d18c4d6c79e9e5255509c9b7a34a8a6328098bf35a8ae8cf7478ada0","Success","ERC-20","0x771d503f","25651233","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,353.560346","$4,426.14","Uniswap(UNI)","0.0009496"
"0x4a19a3890dc6eb879365baef1886c1d73d01156dca0792f1ae750839b5ca83d2","Success","ERC-20","0x0fe20a3f","25651233","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","618.49986","$2,022.49","Uniswap(UNI)","0.00098799"
"0x5fa0382d1792b6fed50e4c8a9a6263876824f8d8ce96d8d3a4a586a937ac2255","Success","ERC-20","0x0fe20a3f","25651233","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","616.904822","$2,017.28","Uniswap(UNI)","0.00118881"
"0x955a96f9e0baefaec9e241cd1fc6fbd039f2c71c9e73cbcf5392579332bc2909","Success","ERC-20","0x771d503f","25651233","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","855.569469","$2,797.71","Uniswap(UNI)","0.00167786"
"0xc2e91e7df4f82e3f96c344a0134bb74489cc4b892581442250c50f02727b46bb","Success","ERC-20","0xbc4a02e4","25651228","16 days ago","0x225a38bc71102999Dd13478BFaBD7c4d53f2DC17","Rizzolver: Uniswap X","0x019308fF4c49819C6329F84198f650ddDFe72f1A"," ","1,120.715646","$3,664.74","Uniswap(UNI)","0.00039523"
"0xc2e91e7df4f82e3f96c344a0134bb74489cc4b892581442250c50f02727b46bb","Success","ERC-20","0xbc4a02e4","25651228","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x225a38bc71102999Dd13478BFaBD7c4d53f2DC17"," Rizzolver: Uniswap X","1,120.715646","$3,664.74","Uniswap(UNI)","0.00039523"
