"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x9418607c6f5b1eeb473e7c31297c31a1c36c7a117a784a2a3c91d2f85d9fe6bb","Success","ERC-20","0x000000c3","25650646","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","892.389486","$2,918.11","Uniswap(UNI)","0.00061684"
"0xf8f8789836a786073b54636ab42ee4e10afd054089a985ca50760b251cd628a1","Success","ERC-20","0x000000c3","25650644","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","770.912267","$2,520.88","Uniswap(UNI)","0.01356329"
"0xf8f8789836a786073b54636ab42ee4e10afd054089a985ca50760b251cd628a1","Success","ERC-20","0x000000c3","25650644","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","4,128.818561","$13,501.24","Uniswap(UNI)","0.01356329"
"0xd792d383c0786dccabc54fcaa1fe42b78e1ec9230b32e4b146cdcc548d168714","Success","ERC-20","0x01000000","25650643","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x01989C93890AeD05a63d179b03424997075B6acF"," ","1,001.802315","$3,275.89","Uniswap(UNI)","0.00033285"
"0x6100d2340da3b78b1f96e50ab06f679c7f3cc03b0d1069897426cec70a5e5542","Success","ERC-20","Transfer","25650642","16 days ago","0x7Ff8bbf9C8AB106db589e7863fb100525F61CCe5","BloFin: Hot Wallet 1","0x4C3a43d1D27aEC0F900A4B4F5B35469A1A67C014"," ","895.56","$2,928.48","Uniswap(UNI)","0.00000327"
"0x99d84d441571f66f8b44394333e8b2f2b1fe51140de72f8b88658a8aba6a2cef","Success","ERC-20","Transfer","25650642","16 days ago","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","2,429.891718","$7,945.75","Uniswap(UNI)","0.00000327"
"0x5fbe091bab542b4ba70ed755d7fa98fcfbefc30156002d581914f41c47314269","Success","ERC-20","Execute","25650639","16 days ago","0x111116053F09d34a7Eae8102887004445176CA11"," ","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","505.013256","$1,651.39","Uniswap(UNI)","0.00122543"
"0x5fbe091bab542b4ba70ed755d7fa98fcfbefc30156002d581914f41c47314269","Success","ERC-20","Execute","25650639","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x111116053F09d34a7Eae8102887004445176CA11"," ","799.611704","$2,614.73","Uniswap(UNI)","0.00122543"
"0x928a6142f89a7c48f8c14dccb563e93dd8b3fd8e7f689396af4fb923af834f89","Success","ERC-20","0x771d503f","25650639","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","823.50092","$2,692.85","Uniswap(UNI)","0.00030268"
"0xdb2a3b0c7dac27294b538772d01cd52b3b2e29a706abcc27c78c43fd4eda796a","Success","ERC-20","0x01000000","25650638","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x01989C93890AeD05a63d179b03424997075B6acF"," ","6,237.686686","$20,397.24","Uniswap(UNI)","0.01333064"
"0x7d1433fe522725ae2cc313ef4d9ff211fd82edaedffea5460964718a8d76c4e0","Success","ERC-20","Swap","25650638","16 days ago","0x11111605ef067242653c980B8f6F1ffE50305Afe"," ","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","1,584.257813","$5,180.52","Uniswap(UNI)","0.00032368"
"0x7d1433fe522725ae2cc313ef4d9ff211fd82edaedffea5460964718a8d76c4e0","Success","ERC-20","Swap","25650638","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x11111605ef067242653c980B8f6F1ffE50305Afe"," ","1,025.152777","$3,352.25","Uniswap(UNI)","0.00032368"
"0x7d1433fe522725ae2cc313ef4d9ff211fd82edaedffea5460964718a8d76c4e0","Success","ERC-20","Swap","25650638","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x11111605ef067242653c980B8f6F1ffE50305Afe"," ","547.922794","$1,791.71","Uniswap(UNI)","0.00032368"
"0x4bc65f495796e1f3f9bfdd695bdbec0375a6a0e9551f54d436e4a510e6dc47d2","Success","ERC-20","0x771d503f","25650632","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","847.854808","$2,772.49","Uniswap(UNI)","0.00000815"
"0xd05311daaaa0d48287ab4fe218400b5db52548bfa27f81482070d2eeaf846f99","Success","ERC-20","0x771d503f","25650632","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,268.626388","$10,688.41","Uniswap(UNI)","0.00000744"
"0xa2a88cfff390f48d6a9d7cc2a363eaa91baf815b7d09b024cce3e7ffb943edf6","Success","ERC-20","Send Multi Sig Token","25650601","16 days ago","0xb08d14eA10C1C8b00727D24D2890D5d19513318C"," ","0xe5477E566d45377e582af04f1BC8719bdc69D162"," ","1,754","$5,735.58","Uniswap(UNI)","0.00000738"
"0x4f9bbe3271eae4d0a2ac6370c539eb7f2677df64b8847fb373e281e898b9b9d0","Success","ERC-20","Batch Transfer","25650600","16 days ago","0x9642b23Ed1E01Df1092B92641051881a322F5D4E","MEXC 16","0x2E066e668Ea1cDB78825636af27F0943636ccF09"," ","1,006.31","$3,290.63","Uniswap(UNI)","0.0000575"
"0xe4d8b58b34d0dc303e9148f9de34167d50a254997a492a284a1c34f0991853ce","Success","ERC-20","0x6d7b7040","25650597","16 days ago","0x9008D19f58AAbD9eD0D60971565AA8510560ab41","CoW Protocol: GPv2Settlement","0x91117B580d5fc9139f5987c2e1E65255bf003c0c"," ","561.675132","$1,836.68","Uniswap(UNI)","0.00005844"
"0xe4d8b58b34d0dc303e9148f9de34167d50a254997a492a284a1c34f0991853ce","Success","ERC-20","0x6d7b7040","25650597","16 days ago","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","0x9008D19f58AAbD9eD0D60971565AA8510560ab41"," CoW Protocol: GPv2Settlement","561.926052","$1,837.50","Uniswap(UNI)","0.00005844"
"0x63ef9e757897df724b660dc2639508ce3d90f313cfb4db052a74710406142e2c","Success","ERC-20","Transfer","25650579","16 days ago","0x377b8CE04761754E8Ac153B47805A9Cf6B190873","Upbit 59","0x704A288b17f739690F5248659F941Da0e68Dca95"," ","5,288.8","$17,294.38","Uniswap(UNI)","0.00000209"
"0x19cf83c0e1dfb9792d53d1fcad29c53170abcadf412e1f9ea41ecc839eef390e","Success","ERC-20","0x0fe20a3f","25650567","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","608.676593","$1,990.37","Uniswap(UNI)","0.0000084"
"0x88295027b0e438f13b9a9fafed6cec6c7a5c71d0dc3a82646dd9df9367e5c370","Success","ERC-20","0x0fe20a3f","25650560","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","526.264221","$1,720.88","Uniswap(UNI)","0.00000871"
