"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x08f04c8884afd6c5d717178b4d35c3e0811bd2c6392b70f6147df7452ed43fb7","Success","ERC-20","0x771d503f","25649580","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","2,096.842052","$6,835.71","Uniswap(UNI)","0.00001423"
"0x3850c7107b8e12a7940fb2207d6ed1b72285066666ecdb0907d1b6c0cd3c1604","Success","ERC-20","Transfer","25649579","17 days ago","0x7f604D597c15b2e2F60DC645844f68b1D781b752","Bitstamp 61","0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4","Binance Dep: 0xEae738...58A4F4","22,666","$73,891.16","Uniswap(UNI)","0.00000679"
"0xb9f32ecf3d92fd254f02dbd26b6cd410298b800232cbc22a79537cc375b24887","Success","ERC-20","0x000000c3","25649579","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","655.043916","$2,135.44","Uniswap(UNI)","0.00490514"
"0x80d2915130daa53faaed1f307c447986d4bff05f6ddf6a604cb258c04291adcb","Success","ERC-20","Transfer","25649577","17 days ago","0x7f604D597c15b2e2F60DC645844f68b1D781b752","Bitstamp 61","0x399b114D0A63EC65D762B594d1783353166DBaF7"," ","2,057","$6,705.82","Uniswap(UNI)","0.00001253"
"0xda66ab2ebeaf4aa173341cc4f3f98a5cbeafa0b1c23005b892f5e5798f65959e","Success","ERC-20","Flush Tokens","25649577","17 days ago","0x89a9e70F93A9Aa6D0e09FE96E4b67e3D0947a748"," ","0x7f604D597c15b2e2F60DC645844f68b1D781b752","Bitstamp 61","7,000","$22,820.00","Uniswap(UNI)","0.00003758"
"0xb3dae2475fa11f450c3b7debb3838fed6faff197f16310760bbfbaeb8d3d20fa","Success","ERC-20","0xa0000000","25649576","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","2,316.386239","$7,551.42","Uniswap(UNI)","0.00113023"
"0x266b047332df7d0ebab00bbfc850bf96bb05152eb6f524b4b15bc881a512f1c5","Success","ERC-20","0x0fe20a3f","25649574","17 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","588.465829","$1,918.40","Uniswap(UNI)","0.00001402"
"0xa414934b51cb417afa2d8a3ed1f56ff83bdc35a03f23422dc595caac5b61540e","Success","ERC-20","0x771d503f","25649574","17 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","8,562.037264","$27,912.24","Uniswap(UNI)","0.00001253"
"0xbf0440b233b9a796ff92768489f22a7d531bf453e1a4f17ad778058a9d6a0b32","Success","ERC-20","Transfer","25649573","17 days ago","0x8afD8542540A2C5cE26D01Ac3AE6cC1e9C32568f","KuCoin Dep: 0x8afD85...32568f","0x58edF78281334335EfFa23101bBe3371b6a36A51"," KuCoin 20","7,969.55","$25,980.73","Uniswap(UNI)","0.00000363"
"0x1861be5f0366ee5e3f05c898b8c8e238b877ac427e09d289341538db652c4a33","Success","ERC-20","Transfer","25649572","17 days ago","0xA294cCa691e4C83B1fc0c8d63D9a3eeF0A196DE1","Fund: 0xa29...de1","0x89a9e70F93A9Aa6D0e09FE96E4b67e3D0947a748"," ","7,000","$22,820.00","Uniswap(UNI)","0.00000643"
"0x30981b475127d7f5e283110d3b5bb5ab55eca2e965ae1d0c55bfab6ff5edc0de","Success","ERC-20","Transfer","25649567","17 days ago","0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4","Binance Dep: 0xEae738...58A4F4","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","48,709","$158,791.34","Uniswap(UNI)","0.00001079"
"0x2ff4496fa052d03561a76c4cad9aceb90682f52384c98973b30cd48239a82982","Success","ERC-20","Transfer","25649567","17 days ago","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","1,844.040628","$6,011.57","Uniswap(UNI)","0.0000108"
"0x49f4e5658a586b7ee3e2978924bca827ea8f2444549c89b9a01e7f9364c149eb","Success","ERC-20","Transfer","25649567","17 days ago","0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549","Binance 15","0x2D2C3ca265c90D87F94D4086C17d33E5a42cCe73"," ","7,999.87","$26,079.58","Uniswap(UNI)","0.00004436"
"0x5ad7d5620907ce8b888879f8ef10d4d3f41463674d50577c2a18d0e60019ceff","Success","ERC-20","Transfer","25649562","17 days ago","0x4A4aaA0155237881FBD5C34BfaE16e985A7B068D","OKX 154","0xA294cCa691e4C83B1fc0c8d63D9a3eeF0A196DE1","Fund: 0xa29...de1","6,999.965","$22,819.89","Uniswap(UNI)","0.00004428"
"0xc2500c39bf56a58024765d16d34ae41bd32c165723aa4521021852218ad20aa8","Success","ERC-20","Transfer","25649560","17 days ago","0x7D975f7efa48BC47565EAf9e937B57644a91ce59"," ","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43"," Coinbase 10","2,602.524637","$8,484.23","Uniswap(UNI)","0.00003531"
