"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xd16689562ec46e01a2f26cd69d019e417da81ea0662274ccac8d51938dc7bb11","Success","ERC-20","0x0cbc54e8","25651706","16 days ago","0x111116053F09d34a7Eae8102887004445176CA11"," ","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","920","$3,008.40","Uniswap(UNI)","0.00050134"
"0xd16689562ec46e01a2f26cd69d019e417da81ea0662274ccac8d51938dc7bb11","Success","ERC-20","0x0cbc54e8","25651706","16 days ago","0x111116053F09d34a7Eae8102887004445176CA11"," ","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","960","$3,139.20","Uniswap(UNI)","0.00050134"
"0x6dd42558eda35a9c1efabd63aba8418ae19add1f6fd4e33e0ec4b6b0e086b8cc","Success","ERC-20","Transfer","25651698","16 days ago","0xA2Baf5543CFFa47F4af1419A55Dfd6492562C4C8"," ","0x53Ca098fbA0B23E873fb4Dde5D4E7d1B5dB2d9D5"," ","4,493.3","$14,693.09","Uniswap(UNI)","0.00001019"
"0x627263a93e3bbd6f7fc7ccd2e1cf3a3cb674511af0bd4046f9051288505a94b0","Success","ERC-20","0x00001d42","25651683","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x67336Cec42645F55059EfF241Cb02eA5cC52fF86"," ","677.22172","$2,214.52","Uniswap(UNI)","0.0000428"
"0x2a32f86ef8f46c25ed1eda6c188cbcfc1a70132891474ee6a4d2dd61188ddc26","Success","ERC-20","0xca350aa6","25651683","16 days ago","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x9F2fA8543A0458c5E33c83693f5889237A8FEC60","KuCoin Dep: 0x9F2fA8...8FEC60","1,081.976832","$3,538.06","Uniswap(UNI)","0.00037083"
"0xd37bf0c4bf8b42c4fe044a6aecdd8bd3b82a663e5282a49501c6aab07c2756fd","Success","ERC-20","Transfer","25651681","16 days ago","0x22aC3b5cf929BaA6ec50ec6167acB44f9D099300","ByBit Dep: 0x22aC3b...099300","0x8Fa129F87B8a11ee1ca35Abd46674F8b66984d4a"," Bybit: Wallet 80","2,738.769661","$8,955.78","Uniswap(UNI)","0.00007825"
"0x9d7d0e8c00473cb48b184b728e6d382e1ae90e14dc91fa7c7385bd9fd05b7bc8","Success","ERC-20","Exec Transaction","25651680","16 days ago","0x29065a4C1f2F20d1E263930088890d6F49Fe715a","Poloniex 10","0x8fCA4adE3a517133fF23ca55CdAea29C78C990b8","Poloniex 7","700","$2,289.00","Uniswap(UNI)","0.00001723"
"0xd0aa52e8589ec230bccb22704dc7425688f6397119f27b2a9b19d2c6b2ee1a60","Success","ERC-20","Transfer","25651677","16 days ago","0xFF69344A5E573fDBdcC49579cB62a21d49AD7F7E"," ","0xcd00f0F74250cb82d228aDf58CAd97125ec8ae02"," ","6,147.802252","$20,103.31","Uniswap(UNI)","0.00001162"
"0xa06fc5a204b4dbecbea840c96a578505197e583bc177498db8b47be05bceed8e","Success","ERC-20","Transfer","25651676","16 days ago","0xf64A78C8Ab3222C2083E6E69AfBE79CF2D7BBeE4"," ","0x8fCA4adE3a517133fF23ca55CdAea29C78C990b8","Poloniex 7","17,440.436","$57,030.23","Uniswap(UNI)","0.00002649"
"0x5bc033d300d2b358e8aef17d6a3c27e01299eec5d369cc894111f50dc22b9c17","Success","ERC-20","Transfer","25651675","16 days ago","0xcd00f0F74250cb82d228aDf58CAd97125ec8ae02"," ","0xf64A78C8Ab3222C2083E6E69AfBE79CF2D7BBeE4"," ","17,440.436","$57,030.23","Uniswap(UNI)","0.00001812"
"0xd7ae57d1e578803e404a27f4b83b05b2e4f9b289789cc696571891e3ab8d4917","Success","ERC-20","Transfer","25651670","16 days ago","0xFF69344A5E573fDBdcC49579cB62a21d49AD7F7E"," ","0xcd00f0F74250cb82d228aDf58CAd97125ec8ae02"," ","6,147.802252","$20,103.31","Uniswap(UNI)","0.0000127"
"0xbd04fac88ce78f743af31a3675b14482aec85ebaacbfd05972144bdc2301623c","Success","ERC-20","Send Multi Sig Token","25651669","16 days ago","0x4f90356dbc2286b4BE8cF14738b05E3A9E9c0c7e"," ","0x7f604D597c15b2e2F60DC645844f68b1D781b752","Bitstamp 61","93,528","$305,836.56","Uniswap(UNI)","0.00003904"
"0x5bcaccef8eae14007819b2758c78a7833e76292ee226ef117e076d481b8686ce","Success","ERC-20","Transfer","25651669","16 days ago","0x0639556F03714A74a5fEEaF5736a4A64fF70D206","Bitget 4","0xffa8DB7B38579e6A2D14f9B347a9acE4d044cD54","Bitget 35","14,171.762565","$46,341.66","Uniswap(UNI)","0.0000106"
"0x403220eaf1e4c23941f883350dac7b57c7fa8cb03eac716832e1c644630de53a","Success","ERC-20","Transfer","25651668","16 days ago","0x4A4aaA0155237881FBD5C34BfaE16e985A7B068D","OKX 154","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","8,006","$26,179.62","Uniswap(UNI)","0.00008007"
"0x4f3ed47922b3132e6e91cf5daacc6e23b4034274b530ef8158a7b1e822942414","Success","ERC-20","Transfer","25651667","16 days ago","0xe9A911B75ff5BB6e7B41A045B4d3ceEDb6101381"," ","0x190583676Bba02aa1e8649aCfB45643101F33656"," ","1,264.732382","$4,135.67","Uniswap(UNI)","0.00004011"
"0x31f0fe8d7925c3deabc06c177a45074d40fe810778b0e03307e6d9a6ecbfe7e9","Success","ERC-20","Exec Transaction","25651661","16 days ago","0x4fb312915B779b1339388e14b6d079741Ca83128","HTX 60","0xFF69344A5E573fDBdcC49579cB62a21d49AD7F7E"," ","51,000","$166,770.00","Uniswap(UNI)","0.00002433"
"0x3449a9d42ac80355a982ef283f05ba31355c31a2038393068e89d894bd435650","Success","ERC-20","Transfer From","25651654","16 days ago","0x58E1885ADC33d07b1aFc16F11463163a1A28CCeD"," ","0xcA4BC2199418b379400b3820CeB3c825B5552C6E"," ","1,205.976776","$3,943.54","Uniswap(UNI)","0.00009577"
"0x435d8a67dbf5c71b01bc758035e6229ace4cca666214fce460a906ce9b90e321","Success","ERC-20","Transfer","25651637","16 days ago","0x25bA6B3FeF4878D8763AD3fa8A6e2d065f127F73"," ","0x14E51143B3A5De4B4EC392680010E170c458ecc8"," ","589.870243","$1,928.88","Uniswap(UNI)","0.00000937"
"0x54fe149e9dc6b16c294830d3c295cd78d7209904891a5a67fa15f1e1462e8e52","Success","ERC-20","Transfer","25651629","16 days ago","0x12A75dD10deF9A7cb6D119E518d47af4Ee2B7913"," ","0x6569925Aac77D6B8Bb085F31F9828ff80D5a0c44"," ","2,000","$6,540.00","Uniswap(UNI)","0.00006739"
"0xb8d2c7ae1816fe73975cf154d90d65aea782f0add36e1390390650f157fd1887","Success","ERC-20","0xca350aa6","25651622","16 days ago","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x58E1885ADC33d07b1aFc16F11463163a1A28CCeD"," ","1,205.976776","$3,943.54","Uniswap(UNI)","0.00053476"
"0xda8ad3d633be5fb50021e461abbd92f2d1d941c5f2244e024ef9f4e233e58a3a","Success","ERC-20","Transfer","25651616","16 days ago","0xEc9Eb611a3D1D21AC80cB77683C74B9C33E89218","Gate Dep: 0xEc9Eb6...E89218","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","21,056","$68,853.12","Uniswap(UNI)","0.00005934"
"0xc20c34dadba1b659f9af6a6299f033d3252cf1d2c711bf9dc3522663ba35d7b0","Success","ERC-20","Flush Forwarder Tokens","25651596","16 days ago","0xfB1818e98758E7834e8d7232FB27DE87DD51Ab2c"," ","0x3A61da6D37493E2f248A6832F49b52Af0a6f4Fbb"," ","2,488.067812","$8,135.98","Uniswap(UNI)","0.00000789"
"0x1f71dbb5e3a7e96843feb4706d9b41673ca2de802dcd8075a4ea31a2d0ad8045","Success","ERC-20","Transfer","25651595","16 days ago","0xDFd5293D8e347dFe59E90eFd55b2956a1343963d","Binance 16","0xe9A911B75ff5BB6e7B41A045B4d3ceEDb6101381"," ","1,264.732382","$4,135.67","Uniswap(UNI)","0.00004479"
"0x2debabf65b29c23cf7ca77ac69d06ed8dc7e117f7cca1c82b0915b73543380a1","Success","ERC-20","Transfer","25651589","16 days ago","0xB51Bf9029d778899d42e96ebCdc0498bd061006d"," ","0xfB1818e98758E7834e8d7232FB27DE87DD51Ab2c"," ","2,488.067812","$8,135.98","Uniswap(UNI)","0.00000704"
"0x5f6a017caede5e6425917630327e002aeebf0d593606cf6115c1251748f973a5","Success","ERC-20","Transfer","25651580","16 days ago","0xc8097F92626893070a49bE22cc66f7552b15B654"," ","0xbF90664017218aC7D9DB5ae0c84873628e9ae1AE"," ","1,255.17409","$4,104.42","Uniswap(UNI)","0.00001227"
"0xd0154b07a28a0e31b9b3e0fd890e09ec584f69d1e1b85eb959a7b0277cf51b8d","Success","ERC-20","Transfer","25651578","16 days ago","0x28C6c06298d514Db089934071355E5743bf21d60","Binance 14","0xc8097F92626893070a49bE22cc66f7552b15B654"," ","1,255.17409","$4,104.42","Uniswap(UNI)","0.00006365"
"0x28ccd90b8855abd596597404e5855618056ff22857c3c19d3b9af09e3fb2b712","Success","ERC-20","Transfer","25651572","16 days ago","0xFF69344A5E573fDBdcC49579cB62a21d49AD7F7E"," ","0xcd00f0F74250cb82d228aDf58CAd97125ec8ae02"," ","11,292.633736","$36,926.91","Uniswap(UNI)","0.00000932"
