"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x6692ece013944e20f4d84be5e99fd586e22d5da10f34222860c77e362dc06d15","Success","ERC-20","Transfer","25652299","16 days ago","0xA8b9b1C7ea976B1Dd2d3fd0D863F8c71539b9c4b"," ","0x6569925Aac77D6B8Bb085F31F9828ff80D5a0c44"," ","2,000","$6,540.00","Uniswap(UNI)","0.00002727"
"0x02f7aa7f5b43d2362ce2359248862951306f33b734bcc5e9382f7352c530ccf6","Success","ERC-20","Mooo Z1089603480","25652295","16 days ago","0x9008D19f58AAbD9eD0D60971565AA8510560ab41","CoW Protocol: GPv2Settlement","0xA8b9b1C7ea976B1Dd2d3fd0D863F8c71539b9c4b"," ","2,000.556423","$6,541.82","Uniswap(UNI)","0.00043862"
"0x02f7aa7f5b43d2362ce2359248862951306f33b734bcc5e9382f7352c530ccf6","Success","ERC-20","Mooo Z1089603480","25652295","16 days ago","0x2E69797d37E888d62974A1FfA20816A5f55F898d"," ","0x9008D19f58AAbD9eD0D60971565AA8510560ab41"," CoW Protocol: GPv2Settlement","2,000.956614","$6,543.13","Uniswap(UNI)","0.00043862"
"0xacd627dbc660bf83e1e60c39bdfc5c83e1a93401bd42f8d2d3b0aa1a2226fad8","Success","ERC-20","Transfer","25652293","16 days ago","0x92EA7496eba5F001d620005f88F3e8e686e3d4eA"," ","0xbF90664017218aC7D9DB5ae0c84873628e9ae1AE"," ","1,657.03","$5,418.49","Uniswap(UNI)","0.00006931"
"0x1bc6dc7de19bcf74388b4785ee71d4f53881a6c04c1f456f32ba37752020d036","Success","ERC-20","Transfer","25652290","16 days ago","0xBb3C6D28DeF21B6297016622A57A0B05015e3aD2"," ","0xfF8a035eA6C80673f741C2265985eD976a40D390","OKX 166","1,298.252873","$4,245.29","Uniswap(UNI)","0.00006908"
"0xd60c71b2198a87046001b5624b52104b8afe945ab7c6770e47840eaf08fd4a39","Success","ERC-20","Transfer","25652290","16 days ago","0x85DCd76D4FBd3AA0c85c27b9441222C19a14134B","OKX 226","0x3c9dF24f248ff949161A5a43BBf6dd69378D7799","OKX 192","817.314861","$2,672.62","Uniswap(UNI)","0.00006908"
"0xf1af8d1adf62fd412a500d575d0f4f04d01c46b4bd206be585da2e22b03fb677","Success","ERC-20","Transfer","25652289","16 days ago","0xaB782bc7D4a2b306825de5a7730034F8F63ee1bC","Bitvavo: Hot 3","0x5733Cc995209E11e3E42479fFc8E9778031CfA06"," ","2,288.107177","$7,482.11","Uniswap(UNI)","0.00001016"
"0x8ad9cbb10ef2ae96a1ff2248acbb1ac90ab274d9358df0bd1d032de8ff08da6c","Success","ERC-20","Transfer","25652285","16 days ago","0x41c0265Fc0B018edD50049f6E71636dA06B8bF81","Gate Dep: 0x41c026...B8bF81","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","511.158417","$1,671.49","Uniswap(UNI)","0.00005774"
"0x50f764d089465ef786ee7a9995cc3124a882465812e15166d5912726136ecdd9","Success","ERC-20","Transfer","25652285","16 days ago","0xF4435447160702B89a1e10E5923fc8C8A05AB932","Gate Dep: 0xF44354...5AB932","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","693.883713","$2,269.00","Uniswap(UNI)","0.00005774"
"0x7f5ef99eb5ebeb84d8fcba56477e26fb966676e17fa3688a4e4e14e9d0e4d5b5","Success","ERC-20","Transfer","25652283","16 days ago","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","0xBC8A0f5E41857292D12Ef620e2a5895ce65A5Ce0"," ","8,118.767","$26,548.37","Uniswap(UNI)","0.00004644"
