"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x4e78dd82f27000cd2ae9f4210598e7ab5ca42ba36d76020e74692af7119b231d","Success","ERC-20","0x0fe20a3f","25654251","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","537.594886","$1,757.94","Uniswap(UNI)","0.000083"
"0x82b056f44b7ff81d08db5f6d507fc54ad981acd72095ce464c43efcbb227dfe7","Success","ERC-20","0x771d503f","25654250","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","822.497808","$2,689.57","Uniswap(UNI)","0.00107148"
"0x1692bd6c6a085ae24f20ab171a634e7b866473fd9693262b27603ca15ea7723f","Success","ERC-20","0x771d503f","25654250","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","564.225664","$1,845.02","Uniswap(UNI)","0.00041943"
"0x23170b9b2bf01c4bfbbfdc9cfe53b7fa7279f7027d90de6421362aba3cbe69f6","Success","ERC-20","Flush Tokens","25654247","16 days ago","0x2d2f12f2D983E7125e7f974dc62260fc0f525019"," ","0x7f604D597c15b2e2F60DC645844f68b1D781b752","Bitstamp 61","6,066","$19,835.82","Uniswap(UNI)","0.00003481"
"0x26a537b0ae5ada9a0b29dbcee907e0e219a5384c5956a320a0ba0abe817e369b","Success","ERC-20","Transfer","25654245","16 days ago","0xDFd5293D8e347dFe59E90eFd55b2956a1343963d","Binance 16","0x57483D84305357F22e293a55bb7ddC2798352d40","ByBit Dep: 0x57483D...352d40","8,299","$27,137.73","Uniswap(UNI)","0.00009078"
"0x2bcca4803dbcb4e567e7bfdd12438bea8049c34fba5cf7f121410f94876a3aed","Success","ERC-20","0xca350aa6","25654242","16 days ago","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x2d2f12f2D983E7125e7f974dc62260fc0f525019"," ","6,066","$19,835.82","Uniswap(UNI)","0.00099233"
"0xeb9b16bc0e835e20f63dc88c13ae0b247ec534687d378901bf98f0ff549a2a00","Success","ERC-20","0x000000c3","25654241","16 days ago","0xA113Ad3Ff6e200F8A85bf6B57a6B31EDE7eC4354"," ","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","531.278469","$1,737.28","Uniswap(UNI)","0.00549658"
"0xeb9b16bc0e835e20f63dc88c13ae0b247ec534687d378901bf98f0ff549a2a00","Success","ERC-20","0x000000c3","25654241","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0xA113Ad3Ff6e200F8A85bf6B57a6B31EDE7eC4354"," ","531.278469","$1,737.28","Uniswap(UNI)","0.00549658"
"0xeb9b16bc0e835e20f63dc88c13ae0b247ec534687d378901bf98f0ff549a2a00","Success","ERC-20","0x000000c3","25654241","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","883.068032","$2,887.63","Uniswap(UNI)","0.00549658"
"0xeb9b16bc0e835e20f63dc88c13ae0b247ec534687d378901bf98f0ff549a2a00","Success","ERC-20","0x000000c3","25654241","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","720.48921","$2,356.00","Uniswap(UNI)","0.00549658"
"0x8d6f5d02e96102d737899d7fcd0545404329d35ba1206d07dcb1eb7e0816a80c","Success","ERC-20","Multicall","25654233","16 days ago","0x7c3A919D2FE2587d8bfAd023F52E7c3Ca40204Ea"," ","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","1,026.144347","$3,355.49","Uniswap(UNI)","0.00042154"
"0x397f12c9b4153d1bb0fcaf067bfe01bff63156f065c8c3b56a3b0c9400b891e9","Success","ERC-20","Flash Loan And Settle","25654233","16 days ago","0x000000009DFeB5e6B421abf9C1B7A8000c43633F"," ","0xE8736aF1926e9d8f5a6602FbbB0893b26436D710"," ","1,493.265368","$4,882.98","Uniswap(UNI)","0.00080523"
"0x397f12c9b4153d1bb0fcaf067bfe01bff63156f065c8c3b56a3b0c9400b891e9","Success","ERC-20","Flash Loan And Settle","25654233","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x000000009DFeB5e6B421abf9C1B7A8000c43633F"," ","1,493.265368","$4,882.98","Uniswap(UNI)","0.00080523"
"0xea98a3ce0b6bf25c1deb12917b911fc0781d540d6b5cba67c015b9e6f74de84d","Success","ERC-20","0x0fe20a3f","25654232","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","912.416579","$2,983.60","Uniswap(UNI)","0.00011079"
"0x70d905a4d7cf3ad0849f661ae83f096fb559e0f51bedf1570062591f8e669f87","Success","ERC-20","0x0fe20a3f","25654232","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","1,220.183446","$3,990.00","Uniswap(UNI)","0.00012167"
"0x3f495e1d42638f562dfade7b000438f25219418659cacb6db04bca7619a97025","Success","ERC-20","0x771d503f","25654232","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","1,931.614298","$6,316.38","Uniswap(UNI)","0.00010365"
"0xa471338c56c473e83d39846939315cd804c8014ab32ece5d4f543689a9831379","Success","ERC-20","0x771d503f","25654232","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","2,278.459315","$7,450.56","Uniswap(UNI)","0.00011635"
"0xefe41d2e07e5d51d0620145721cd9bb370c196b3eb48611d5b20933fec279a72","Success","ERC-20","0x0fe20a3f","25654232","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,194.879538","$10,447.26","Uniswap(UNI)","0.00012194"
"0xd179a974006594f8606edf992eb5a0909c5b7fccc2350e22ad5ed7d1a232d87d","Success","ERC-20","0x00000000","25654230","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xEff6cb8b614999d130E537751Ee99724D01aA167"," MEV Bot: 0xeff6...167","553.040582","$1,808.44","Uniswap(UNI)","0.00007803"
"0x129b6dd18140c12d5c3a21dc61d90ff9f2690e8acad91e4f8964ba737d55c5ba","Success","ERC-20","Transfer","25654230","16 days ago","0x93228d328c9c74c2BFE9f97638bbb5ef322f2Bd5","Bybit: Wallet 4","0xbda70E601b4B382F495E9FB1e11FB8A2C8C69244","ByBit Dep: 0xbda70E...C69244","603.17","$1,972.37","Uniswap(UNI)","0.00015008"
"0x4cee10dc23e1c386837fbaaa8dd20e0e46c5fa27fcf13ecabeedccc15d21937c","Success","ERC-20","Transfer","25654228","16 days ago","0x566B30470D7AD97419A48900DC869bd7148736b8"," ","0x0639556F03714A74a5fEEaF5736a4A64fF70D206"," Bitget 4","520.976262","$1,703.59","Uniswap(UNI)","0.00002614"
"0xa0750f41ed160c7b23b598cb228c548922e34268a951d1809cd513aa750f91d0","Success","ERC-20","Multicall","25654227","16 days ago","0xC36442b4a4522E871399CD717aBDD847Ab11FE88","Uniswap V3: Positions NFT","0x7c3A919D2FE2587d8bfAd023F52E7c3Ca40204Ea"," ","1,544.833766","$5,051.61","Uniswap(UNI)","0.0002103"
"0xa0750f41ed160c7b23b598cb228c548922e34268a951d1809cd513aa750f91d0","Success","ERC-20","Multicall","25654227","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xC36442b4a4522E871399CD717aBDD847Ab11FE88"," Uniswap V3: Positions NFT","1,544.833766","$5,051.61","Uniswap(UNI)","0.0002103"
"0xe5b7e3a54f5d59cbf248db8cb51830e5063e57a194bdf39f57f0830662bea39c","Success","ERC-20","Transfer","25654226","16 days ago","0x6b9Cbf308CdFd1Ccf82fB6fb369010F780EF8b9A"," ","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43"," Coinbase 10","35,210.415","$115,138.06","Uniswap(UNI)","0.00005754"
"0x599939dd2efe04381374f75deb55b79b704777bbd85d9756bc30225f47b322c0","Success","ERC-20","Transfer","25654225","16 days ago","0x28C6c06298d514Db089934071355E5743bf21d60","Binance 14","0x1d5c8e3aDF22E219Ecf13A20151bed088BFCbDB8"," ","3,293.8399","$10,770.86","Uniswap(UNI)","0.00009486"
"0xb179508f748565c71da8533d60864d6e65905f1da4564cb6593d6a30d4211079","Success","ERC-20","Transfer","25654216","16 days ago","0x841ed663F2636863D40be4EE76243377dff13a34","Robinhood 5","0x18EC285A48499a67A35bf38EcFA17542E94C603A","Wintermute: XCN/Onyx Deposit","34,326.3473","$112,247.16","Uniswap(UNI)","0.00003123"
"0x13269920b1883c0e26d1a8099473d619e85dc3147e4ce40901cdb8a803188bde","Success","ERC-20","Transfer","25654213","16 days ago","0x88BbCAeEaF0dCa4Ad50e8AAb9387cd78C60be758","Binance Dep: 0x88BbCA...0be758","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","2,331.42","$7,623.74","Uniswap(UNI)","0.00003404"
"0x16bb8907fe53178a3b7c0d9a127537413866f90cbdb01bc929c1f1076a438a6d","Success","ERC-20","Flush Forwarder Tokens","25654212","16 days ago","0x1baA8D01CE28af1396902782f7f10D9b889f642A"," ","0x1522900B6daFac587d499a862861C0869Be6E428"," Bitstamp 2","87,033.315763","$284,598.94","Uniswap(UNI)","0.00005509"
"0x18790139085dff0246fb1333c4c306b3b64fd28f4db7862aff213c3a8f04f447","Success","ERC-20","Transfer","25654212","16 days ago","0x841ed663F2636863D40be4EE76243377dff13a34","Robinhood 5","0x6b9Cbf308CdFd1Ccf82fB6fb369010F780EF8b9A"," ","35,210.415","$115,138.06","Uniswap(UNI)","0.00005013"
"0xa8ce350472790c3f1e0ca7f15ef9fcbf61f64a52d558e23e53efc0ff6b534212","Success","ERC-20","0x000000c3","25654211","16 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","565.95287","$1,850.67","Uniswap(UNI)","0.00385814"
"0x0dcff84983c2fdb7da76b9bfdbd482dcf5df75457ce3fdefdb59d257bd5e3f3b","Success","ERC-20","Transfer","25654210","16 days ago","0x3c0f1Eb74D98DE584E6b46089F94Ba3086eeFA9c"," ","0x36cA62b63928e6499F156122F250900609993088"," ","810.927296","$2,651.73","Uniswap(UNI)","0.00012035"
"0xd54221193fbc0edb32287c06709e3efe67874eae8657570c6b27350d04c1527d","Success","ERC-20","0x0fe20a3f","25654210","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","579.339511","$1,894.44","Uniswap(UNI)","0.00011538"
"0x514485914bb5409a369efb12793ae1b5adc6f32dd8c009086f76a2ac3f18c34f","Success","ERC-20","0xca350aa6","25654209","16 days ago","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x566B30470D7AD97419A48900DC869bd7148736b8"," ","520.976262","$1,703.59","Uniswap(UNI)","0.00066805"
"0x81b6ea4c9e22657dc53abd58f49058da7db46f2ed96d81adf22f36d6412f1524","Success","ERC-20","Transfer","25654208","16 days ago","0x6c3745D31C3e8b936Ed988850ef49bC26E4bEbBd"," ","0x1157A2076b9bB22a85CC2C162f20fAB3898F4101","FalconX 1","8,044.1643","$26,304.42","Uniswap(UNI)","0.00003123"
"0xf5a90d4fd466ba18bb5ef62b475c924f4c16f86edc683f8e74be24468127301e","Success","ERC-20","0xa0000000","25654208","16 days ago","0x8BE0edE2088ed07D4EEa53103dE71e0375553034"," ","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","659.445567","$2,156.39","Uniswap(UNI)","0.00039332"
"0xf5a90d4fd466ba18bb5ef62b475c924f4c16f86edc683f8e74be24468127301e","Success","ERC-20","0xa0000000","25654208","16 days ago","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6","MEV Bot: 0xBdb...7B6","0x8BE0edE2088ed07D4EEa53103dE71e0375553034"," ","659.445567","$2,156.39","Uniswap(UNI)","0.00039332"
"0xc85403de606c10ddbb23f7a66f9940df8594fa6eea601f240bbc1408939d568f","Success","ERC-20","0x0fe20a3f","25654208","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","582.431736","$1,904.55","Uniswap(UNI)","0.00011765"
"0xde8f364287cfe3a5525988231ed8f70f1aa21a7225b6f26c68f0c3cc98422627","Success","ERC-20","0x771d503f","25654208","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","614.676049","$2,009.99","Uniswap(UNI)","0.00010428"
"0x53547545821e6d41d0961e34f37370cbb7ae40e01df46c3f8b3e1364415c0495","Success","ERC-20","Transfer","25654206","16 days ago","0x841ed663F2636863D40be4EE76243377dff13a34","Robinhood 5","0x1baA8D01CE28af1396902782f7f10D9b889f642A"," ","87,033.315763","$284,598.94","Uniswap(UNI)","0.00005087"
"0xf277c7444440654b9673f87f1507a63ba8eed827c31f023076b1f6bcdf645a11","Success","ERC-20","0x0fe20a3f","25654206","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","817.109302","$2,671.95","Uniswap(UNI)","0.00011913"
"0x3661013e438118749c170ec60588945aad43d7a59bce34b7440b9d968b183630","Success","ERC-20","0x0fe20a3f","25654204","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","638.523166","$2,087.97","Uniswap(UNI)","0.00011522"
"0x2860c36429da2fd682a66c5b092d7033af1a3ec0a270ab5e4b218e66c5962728","Success","ERC-20","0x771d503f","25654204","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x3470447f3CecfFAc709D3e783A307790b0208d60"," Uniswap V3: UNI-USDT","520.169274","$1,700.95","Uniswap(UNI)","0.00011082"
"0x0065513e5c09af76f20e44564760f5f57e75ee4a8e4b968b0513df93b7e340b7","Success","ERC-20","0x771d503f","25654204","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","821.895264","$2,687.60","Uniswap(UNI)","0.00010212"
"0x305641b2fdbd31ab991582e22508bd96e02cfab44ff789bad8f53c4719cef925","Success","ERC-20","0x0fe20a3f","25654204","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","871.277463","$2,849.08","Uniswap(UNI)","0.00011324"
