"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x61e65bc2697175bf4bd28dc4de27d0e676891036b23a51d05e42c0a446c61935","Success","ERC-20","Transfer","25653760","16 days ago","0x4fD6615334850cC1318349a58899f85a61c1E526","ByBit Dep: 0x4fD661...c1E526","0x8Fa129F87B8a11ee1ca35Abd46674F8b66984d4a"," Bybit: Wallet 80","13,694.1","$44,779.71","Uniswap(UNI)","0.00012368"
"0x91dcc6127ca6a2a973614dbd5f3ef5790f9ed0136c51d9b21ab022445780cf9e","Success","ERC-20","Transfer","25653758","16 days ago","0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4","Binance Dep: 0xEae738...58A4F4","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","8,784","$28,723.68","Uniswap(UNI)","0.00006372"
"0x7af484de2daedbb08798234412129bcf6f1bcde3cd04bdc3aa81a08f2b5b5ed3","Success","ERC-20","Transfer From","25653755","16 days ago","0x62bD735fFBD49A02883aC6375aa65C3D4Ed146CA"," ","0xcA4BC2199418b379400b3820CeB3c825B5552C6E"," ","5,960.117089","$19,489.58","Uniswap(UNI)","0.0001539"
"0x831fe7f7db3c14bcf2a748004d62ebb8f7728a0b03c283e374eb7539dcf2671a","Success","ERC-20","Transfer From","25653754","16 days ago","0x62bD735fFBD49A02883aC6375aa65C3D4Ed146CA"," ","0xcA4BC2199418b379400b3820CeB3c825B5552C6E"," ","794.207596","$2,597.06","Uniswap(UNI)","0.00015163"
"0x4148b857cb2b48be032ccbf2f0ef31dd5fe1736e563d4a6cd3a795ac38529e12","Success","ERC-20","Transfer","25653749","16 days ago","0x08dC8ffC2Db71EA07537D1328B3be0799b604396","Binance Dep: 0x08dC8f...604396","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","24,944.28","$81,567.80","Uniswap(UNI)","0.0000558"
"0x917e2cb609cfdb5c1aebc2385fbdabb0dca368e389992ca2af6de63aa6d75a4b","Success","ERC-20","Transfer","25653748","16 days ago","0x0b0F7ebF967146566799229394171FC47f1a765a","Bitstamp 45","0x62bD735fFBD49A02883aC6375aa65C3D4Ed146CA"," ","1,221.557266","$3,994.49","Uniswap(UNI)","0.00006505"
"0x4dc0fbba417f0218ede9857eb914c6a21bfde8bda3a5dc1e2e571420a107cde3","Success","ERC-20","0xbc4a02e4","25653746","16 days ago","0x225a38bc71102999Dd13478BFaBD7c4d53f2DC17","Rizzolver: Uniswap X","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","5,096.623","$16,665.96","Uniswap(UNI)","0.0006732"
"0x4dc0fbba417f0218ede9857eb914c6a21bfde8bda3a5dc1e2e571420a107cde3","Success","ERC-20","0xbc4a02e4","25653746","16 days ago","0x01Ab9dF0B32c98dAd21767dC0C1d9b93b344B251"," ","0x225a38bc71102999Dd13478BFaBD7c4d53f2DC17"," Rizzolver: Uniswap X","5,096.623","$16,665.96","Uniswap(UNI)","0.0006732"
"0x98dad570322ac75f896c3d7062fb0136631b9a44d1591ab66d9984dd01b89a9c","Success","ERC-20","Transfer","25653736","16 days ago","0x28C6c06298d514Db089934071355E5743bf21d60","Binance 14","0xaADC0087d51AcE415Dd5ae3651E7B799a413682F"," ","29,999.87","$98,099.57","Uniswap(UNI)","0.00010353"
"0xcfaa018d60c0104c153447ccbf7f7ddb4219c57036eebfd533a37ae5d43e7205","Success","ERC-20","0x0fe20a3f","25653736","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","634.017763","$2,073.24","Uniswap(UNI)","0.00112604"
"0xf4d6afe54c89ac8cd4b9346b2a6f5693ab21c1d35b6ef918db5bd6a001b8dac2","Success","ERC-20","Transfer","25653731","16 days ago","0x8E101Ce0cD87c816dCfD4d02F7E21983901dEf94","Gate Dep: 0x8E101C...1dEf94","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","1,050.028123","$3,433.59","Uniswap(UNI)","0.00011749"
