"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xf58fd1bcc2b3fd78df4c6a97525b89405fffc9d566a21d6c897edc9427f05a33","Success","ERC-20","0xa0000000","25652526","16 days ago","0x8BE0edE2088ed07D4EEa53103dE71e0375553034"," ","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","898.789771","$2,939.04","Uniswap(UNI)","0.00063367"
"0x9432e41f21017d49fd695c5da2cae8ad5fa7007fb5d7d24ab12b277dd3adc9ff","Success","ERC-20","Transfer","25652524","16 days ago","0x8E101Ce0cD87c816dCfD4d02F7E21983901dEf94","Gate Dep: 0x8E101C...1dEf94","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate Dep: 0x0D0707...b492Fe","1,034.511908","$3,382.85","Uniswap(UNI)","0.00005599"
"0x76792b7c44adf5a818c6a510ab3be8be560ac6897611bd244d374957f161d8c8","Success","ERC-20","Transfer","25652520","16 days ago","0x86a067030a9668c13FF2A8C4d5415aFc776d4c63","Binance Dep: 0x86a067...6d4c63","0x28C6c06298d514Db089934071355E5743bf21d60"," Binance 14","3,855.516643","$12,607.54","Uniswap(UNI)","0.00000988"
"0x667c425b02b9d183ba9c31d0b6833746fb922c397afda7debdba008b28102bd1","Success","ERC-20","Execute","25652512","16 days ago","0x8672a3a1C258D3a6601Be83d9505365eF715Afd6","Bitkub Dep: 0x8672a3...15Afd6","0x59E0cDA5922eFbA00a57794faF09BF6252d64126"," Bitkub: Hot Wallet 3","1,805.70097","$5,904.64","Uniswap(UNI)","0.00000579"
"0x8d0f9ce2d220ae368da62d09466ae4f685b173783275329e9c394b6abfc8e1f5","Success","ERC-20","Transfer From","25652508","16 days ago","0xDcDddF7bfD551c4b402f9CeecFd10214F3269a5D"," ","0xcA4BC2199418b379400b3820CeB3c825B5552C6E"," ","2,058.246","$6,730.46","Uniswap(UNI)","0.00008977"
"0xbe673306be9d92435ace84f22c274dfe25c039d29a1ca293d06c55dbf8235f85","Success","ERC-20","Transfer","25652502","16 days ago","0x56e907793485FB5e127471c15a211De7dd338CCd"," ","0xD0d3e6839C6180d13c6D7c75d8abAa65e132B14c"," ","2,000","$6,540.00","Uniswap(UNI)","0.00009095"
"0xb3eedad6f700a1bdbaa75cf61d92311c7ca7e57558c3b3521121391d0764eb75","Success","ERC-20","Transfer","25652497","16 days ago","0x77FB357f55BEf5a70d30663955F8C9f35794DF0E","eToro 4","0x1e86f4234246b91b7c1C0741b4CDf8E09333b714"," ","2,396.356","$7,836.08","Uniswap(UNI)","0.00000394"
"0x80b20d7490624ba6773472923803277a5dbcf11edab64425a043c75e4116d510","Success","ERC-20","Transfer","25652495","16 days ago","0x87b49A99CbCe4A9030e67919B776AA97d538aDda","Cumberland: 0x87b...Dda","0x040D6D590f4deb5013CdfdD7cD0df46eC9fe0f3F"," ","6,159","$20,139.93","Uniswap(UNI)","0.00000366"
"0xce51fc88f82ab1ca08f231ab8b85bc70653869475dc0032ec164e8e14fe717b2","Success","ERC-20","Transfer","25652493","16 days ago","0xBE9DD94A74ad025B9a2D494E1De1485bC85557B1"," ","0x0CE3382c1B8c7D8d9CfF03a92D2BFE11a54d50d8"," ","2,158.78615","$7,059.23","Uniswap(UNI)","0.00000401"
"0x0e9d00997b4aafbf33b5df72df7d767cf4be30253a26e4792582ffc9e5d2f862","Success","ERC-20","0x771d503f","25652490","16 days ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F","Market Maker: 0x51c7...2a7f","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801"," Uniswap V3: UNI","3,181.368298","$10,403.07","Uniswap(UNI)","0.00001133"
